,code,concatsize,organic?,concatprod,RRP?,brand,j,price,,,#VALUE!,case size,unit size,unit,VAT code
1,4043,6x1kg,organic,Vitality Muesli ,5.89,Infinity,,26.45,,0,5028869040437,6,1,kg,0
1,4045,12x500g,organic,Super Muesli,2.25,Infinity,,20.20,,0,5028869040451,12,500,g,0
1,4050,6x1kg,organic,Super Muesli,4.35,Infinity,,19.55,,0,5028869040505,6,1,kg,0
1,4055,6x1.5kg,organic,Super Muesli,6.25,Infinity,,28.10,,0,5028869040550,6,1.5,kg,0
1,4057,12x500g,organic,Deluxe Muesli,2.11,Infinity,,19.00,,0,5028869040574,12,500,g,0
1,4060,6x1kg,organic,Deluxe Muesli,4.10,Infinity,,18.45,,0,5028869040604,6,1,kg,0
1,4062,6x1.5kg,organic,Deluxe Muesli,5.88,Infinity,,26.45,,0,5028869040628,6,1.5,kg,0
1,4070,6x1kg,organic,Muesli Base,2.39,Infinity,,10.75,,0,5028869040703,6,1,kg,0
1,4085,6x250g,organic,Quinoa Puffs ,3.25,Infinity,,14.60,,0,5028869040857,6,250,g,0
1,5005,12x500g,organic,Aduki Beans,1.89,Infinity,,17.05,,0,5028869050054,12,500,g,0
1,5015,12x500g,organic,Beluga Lentils (black),2.35,Infinity,,21.15,,0,5028869050153,12,500,g,0
1,5017,12x500g,organic,Black-eyed Beans,2.29,Infinity,,20.65,,0,5028869050177,12,500,g,0
1,5020,12x500g,organic,Black Turtle Beans,1.14,Infinity,r,10.30,,0,5028869050207,12,500,g,0
1,5022,12x500g,organic,Brown Lentils,2.15,Infinity,,19.35,,0,5028869050221,12,500,g,0
1,5023,12x500g,organic,Cannelini Beans,1.61,Infinity,r,14.50,,0,5028869050238,12,500,g,0
1,5025,12x500g,organic,Chickpeas,1.60,Infinity,,14.40,,0,5028869050252,12,500,g,0
1,5027,12x500g,organic,Butter Beans,2.29,Infinity,,20.65,,0,5028869050276,12,500,g,0
1,5035,12x500g,organic,Green Lentils,2.13,Infinity,,19.20,,0,5028869050351,12,500,g,0
1,5045,12x500g,organic,Green Split Peas,1.63,Infinity,,14.65,,0,5028869050450,12,500,g,0
1,5055,12x500g,organic,Haricot Beans,1.39,Infinity,,12.50,,0,5028869050559,12,500,g,0
1,5065,12x500g,organic,Mung Beans,2.15,Infinity,,19.25,,0,5028869050658,12,500,g,0
1,5075,12x500g,organic,Pinto-type Beans (light speckled kidney),1.60,Infinity,,14.40,,0,5028869050757,12,500,g,0
1,5085,12x500g,organic,French Type Lentils,2.10,Infinity,,18.90,,0,5028869050856,12,500,g,0
1,5095,12x500g,organic,Red Kidney Beans,1.48,Infinity,r,13.30,,0,5028869050955,12,500,g,0
1,5105,12x500g,organic,Red Split Lentils,1.95,Infinity,,17.50,,0,5028869051051,12,500,g,0
1,5110,12x1kg,organic,Red Split Lentils,3.59,Infinity,,32.20,,0,5028869051105,12,1,kg,0
1,5115,12x500g,organic,Soya Beans,1.39,Infinity,,12.50,,0,5028869051150,12,500,g,0
1,5130,12x500g,organic,Yellow Split Peas ,1.14,Infinity,r,10.25,,0,5028869051303,12,500,g,0
1,6005,12x125g,organic,Alfalfa Seeds,1.65,Infinity,,14.80,,0,5028869060053,12,125,g,0
1,6010,6x250g,organic,Alfalfa Seeds,2.95,Infinity,,13.25,,0,5028869060107,6,250,g,0
1,6011,12x125g,organic,Flaked Almonds,2.80,Infinity,,25.20,,0,5028869060114,12,125,g,0
1,6012,12x250g,organic,Flaked Almonds,5.07,Infinity,,45.65,,0,5028869060121,12,250,g,0
1,6014,12x250g,organic,Ground Almonds,4.75,Infinity,,42.65,,0,5028869060145,12,250,g,0
1,6015,12x125g,organic,Almonds,2.51,Infinity,,22.60,,0,5028869060152,12,125,g,0
